2021-07-07-04-55-05-173296 EdgeServer-1 192.168.0.2 AP-1 SVCQ 23 (recvd)
2021-07-07-04-55-05-335557 EdgeServer-1 AP-1 EdgeServer-1 SVCR 23 (sent)
2021-07-07-13-55-05-371378 USER 192.168.0.2 AP-1 SVCR 22 (recvd)
2021-07-07-13-55-05-386123 AP-1 192.168.0.113 EdgeServer-1 SVCR 23 (recvd)
2021-07-07-13-55-05-492345 AP-1 USER AP-1 SVCR 23 (sent)
2021-07-07-13-55-05-872122 USER AP-1 USER SVCQ 24 (sent)
2021-07-07-13-55-05-918120 AP-1 192.168.0.2 USER SVCQ 24 (recvd)
2021-07-07-13-55-06-024092 AP-1 EdgeServer-1 AP-1 SVCQ 24 (sent)
2021-07-07-04-55-06-075487 EdgeServer-1 192.168.0.2 AP-1 SVCQ 24 (recvd)
2021-07-07-04-55-06-184813 EdgeServer-1 AP-1 EdgeServer-1 SVCR 24 (sent)
2021-07-07-13-55-06-235526 AP-1 192.168.0.113 EdgeServer-1 SVCR 24 (recvd)
2021-07-07-13-55-06-341856 AP-1 USER AP-1 SVCR 24 (sent)
2021-07-07-13-55-06-387345 USER 192.168.0.2 AP-1 SVCR 23 (recvd)
2021-07-07-13-55-06-888058 USER AP-1 USER SVCQ 25 (sent)
2021-07-07-13-55-06-980362 AP-1 192.168.0.2 USER SVCQ 25 (recvd)
2021-07-07-13-55-07-085858 AP-1 EdgeServer-1 AP-1 SVCQ 25 (sent)
2021-07-07-04-55-07-168619 EdgeServer-1 192.168.0.2 AP-1 SVCQ 25 (recvd)
2021-07-07-04-55-07-285390 EdgeServer-1 AP-1 EdgeServer-1 SVCR 25 (sent)
2021-07-07-13-55-07-390368 USER 192.168.0.2 AP-1 SVCR 24 (recvd)
2021-07-07-13-55-07-405846 AP-1 192.168.0.113 EdgeServer-1 SVCR 25 (recvd)
2021-07-07-13-55-07-511352 AP-1 USER AP-1 SVCR 25 (sent)
2021-07-07-13-55-07-892517 USER AP-1 USER SVCQ 26 (sent)
2021-07-07-13-55-07-938338 AP-1 192.168.0.2 USER SVCQ 26 (recvd)
2021-07-07-13-55-08-045225 AP-1 EdgeServer-1 AP-1 SVCQ 26 (sent)
2021-07-07-04-55-08-012192 EdgeServer-1 192.168.0.2 AP-1 SVCQ 26 (recvd)
2021-07-07-04-55-08-113448 EdgeServer-1 AP-1 EdgeServer-1 SVCR 26 (sent)
2021-07-07-13-55-08-152431 AP-1 192.168.0.113 EdgeServer-1 SVCR 26 (recvd)
2021-07-07-13-55-08-257421 AP-1 USER AP-1 SVCR 26 (sent)
2021-07-07-13-55-08-394972 USER 192.168.0.2 AP-1 SVCR 25 (recvd)
2021-07-07-13-55-08-909888 USER AP-1 USER SVCQ 27 (sent)
2021-07-07-13-55-08-999467 AP-1 192.168.0.2 USER SVCQ 27 (recvd)
2021-07-07-13-55-09-104501 AP-1 EdgeServer-1 AP-1 SVCQ 27 (sent)
2021-07-07-04-55-09-155491 EdgeServer-1 192.168.0.2 AP-1 SVCQ 27 (recvd)
2021-07-07-04-55-09-257299 EdgeServer-1 AP-1 EdgeServer-1 SVCR 27 (sent)
2021-07-07-13-55-09-314473 AP-1 192.168.0.113 EdgeServer-1 SVCR 27 (recvd)
2021-07-07-13-55-09-419477 USER 192.168.0.2 AP-1 SVCR 26 (recvd)
2021-07-07-13-55-09-419477 AP-1 USER AP-1 SVCR 27 (sent)
2021-07-07-13-55-09-930751 USER AP-1 USER SVCQ 28 (sent)
2021-07-07-13-55-09-945730 AP-1 192.168.0.2 USER SVCQ 28 (recvd)
2021-07-07-13-55-10-051662 AP-1 EdgeServer-1 AP-1 SVCQ 28 (sent)
2021-07-07-04-55-10-055554 EdgeServer-1 192.168.0.2 AP-1 SVCQ 28 (recvd)
