2021-07-07-18-33-24-734552 LOGR LOGR start
2021-07-07-18-33-29-243649 CTRL CTRL start
2021-07-07-18-33-45-024483 AP-1 AP-1 start ['.\\ap-3.py', 'AP-1', '-1']
2021-07-07-18-33-45-024483 AP-1 EdgeServer1 start  (initial launch)
2021-07-07-18-35-12-161593 EdgeServer-X EdgeServer-X Need 3 args! ['.\\docker-server-4.py']
2021-07-07-18-35-25-764828 EdgeServer-X EdgeServer-X Incorrect EdgeServer name! EdgeServer-1
2021-07-07-18-35-33-722801 EdgeServer1 EdgeServer1 start ['.\\docker-server-4.py', 'EdgeServer1', '-1']
2021-07-07-18-35-33-836601 EdgeServer1 AP-1 EdgeServer1 ES-READY (sent)
2021-07-07-18-35-33-943290 AP-1 127.0.0.1 EdgeServer1 ES-READY (recvd)
2021-07-07-18-36-18-206045 USER USER start ['.\\user-5.py', '-1']
2021-07-07-18-36-32-743031 EdgeServer1 AP-1 EdgeServer1 SVCR 13 (sent)
2021-07-07-18-36-32-848411 USER 127.0.0.1 AP-1 SVCR 12 (recvd)
2021-07-07-18-36-32-848411 AP-1 127.0.0.1 EdgeServer1 SVCR 13 (recvd)
2021-07-07-18-36-32-953678 AP-1 USER AP-1 SVCR 13 (sent)
2021-07-07-18-36-33-348825 USER AP-1 USER SVCQ 14 (sent)
2021-07-07-18-36-33-379363 AP-1 127.0.0.1 USER SVCQ 14 (recvd)
2021-07-07-18-36-33-485970 AP-1 EdgeServer1 AP-1 SVCQ 14 (sent)
2021-07-07-18-36-33-592394 EdgeServer1 127.0.0.1 AP-1 SVCQ 14 (recvd)
2021-07-07-18-36-33-697707 EdgeServer1 AP-1 EdgeServer1 SVCR 14 (sent)
2021-07-07-18-36-33-803874 AP-1 127.0.0.1 EdgeServer1 SVCR 14 (recvd)
2021-07-07-18-36-33-848992 USER 127.0.0.1 AP-1 SVCR 13 (recvd)
2021-07-07-18-36-33-909810 AP-1 USER AP-1 SVCR 14 (sent)
2021-07-07-18-36-34-349771 USER AP-1 USER SVCQ 15 (sent)
2021-07-07-18-36-34-440618 AP-1 127.0.0.1 USER SVCQ 15 (recvd)
2021-07-07-18-36-34-546801 AP-1 EdgeServer1 AP-1 SVCQ 15 (sent)
2021-07-07-18-36-34-653534 EdgeServer1 127.0.0.1 AP-1 SVCQ 15 (recvd)
2021-07-07-18-36-34-759267 EdgeServer1 AP-1 EdgeServer1 SVCR 15 (sent)
2021-07-07-18-36-34-864126 USER 127.0.0.1 AP-1 SVCR 14 (recvd)
2021-07-07-18-36-34-864126 AP-1 127.0.0.1 EdgeServer1 SVCR 15 (recvd)
2021-07-07-18-36-34-970578 AP-1 USER AP-1 SVCR 15 (sent)
2021-07-07-18-36-35-378155 USER AP-1 USER SVCQ 16 (sent)
2021-07-07-18-36-35-393084 AP-1 127.0.0.1 USER SVCQ 16 (recvd)
2021-07-07-18-36-35-499511 AP-1 EdgeServer1 AP-1 SVCQ 16 (sent)
2021-07-07-18-36-35-605617 EdgeServer1 127.0.0.1 AP-1 SVCQ 16 (recvd)
2021-07-07-18-36-35-711464 EdgeServer1 AP-1 EdgeServer1 SVCR 16 (sent)
2021-07-07-18-36-35-818109 AP-1 127.0.0.1 EdgeServer1 SVCR 16 (recvd)
2021-07-07-18-36-35-878576 USER 127.0.0.1 AP-1 SVCR 15 (recvd)
2021-07-07-18-36-35-923481 AP-1 USER AP-1 SVCR 16 (sent)
2021-07-07-18-36-36-379148 USER AP-1 USER SVCQ 17 (sent)
2021-07-07-18-36-36-453992 AP-1 127.0.0.1 USER SVCQ 17 (recvd)
2021-07-07-18-36-36-559432 AP-1 EdgeServer1 AP-1 SVCQ 17 (sent)
2021-07-07-18-36-36-666437 EdgeServer1 127.0.0.1 AP-1 SVCQ 17 (recvd)
2021-07-07-18-36-36-772826 EdgeServer1 AP-1 EdgeServer1 SVCR 17 (sent)
2021-07-07-18-36-36-878730 AP-1 127.0.0.1 EdgeServer1 SVCR 17 (recvd)
2021-07-07-18-36-36-894245 USER 127.0.0.1 AP-1 SVCR 16 (recvd)
2021-07-07-18-36-36-984580 AP-1 USER AP-1 SVCR 17 (sent)
2021-07-07-18-36-37-394580 USER AP-1 USER SVCQ 18 (sent)
2021-07-07-18-36-37-409523 AP-1 127.0.0.1 USER SVCQ 18 (recvd)
2021-07-07-18-36-37-515247 AP-1 EdgeServer1 AP-1 SVCQ 18 (sent)
2021-07-07-18-36-37-621511 EdgeServer1 127.0.0.1 AP-1 SVCQ 18 (recvd)
2021-07-07-18-36-37-728471 EdgeServer1 AP-1 EdgeServer1 SVCR 18 (sent)
2021-07-07-18-36-37-835400 AP-1 127.0.0.1 EdgeServer1 SVCR 18 (recvd)
2021-07-07-18-36-37-894914 USER 127.0.0.1 AP-1 SVCR 17 (recvd)
2021-07-07-18-36-37-940304 AP-1 USER AP-1 SVCR 18 (sent)
2021-07-07-18-36-38-398826 USER AP-1 USER SVCQ 19 (sent)
2021-07-07-18-36-38-473750 AP-1 127.0.0.1 USER SVCQ 19 (recvd)
2021-07-07-18-36-38-579316 AP-1 EdgeServer1 AP-1 SVCQ 19 (sent)
2021-07-07-18-36-38-686156 EdgeServer1 127.0.0.1 AP-1 SVCQ 19 (recvd)
2021-07-07-18-36-38-793088 EdgeServer1 AP-1 EdgeServer1 SVCR 19 (sent)
2021-07-07-18-36-38-898238 AP-1 127.0.0.1 EdgeServer1 SVCR 19 (recvd)
2021-07-07-18-36-38-913244 USER 127.0.0.1 AP-1 SVCR 18 (recvd)
2021-07-07-18-36-39-003459 AP-1 USER AP-1 SVCR 19 (sent)
2021-07-07-18-36-39-413452 USER AP-1 USER SVCQ 20 (sent)
2021-07-07-18-36-39-428290 AP-1 127.0.0.1 USER SVCQ 20 (recvd)
2021-07-07-18-36-39-533510 AP-1 EdgeServer1 AP-1 SVCQ 20 (sent)
2021-07-07-18-36-39-641614 EdgeServer1 127.0.0.1 AP-1 SVCQ 20 (recvd)
2021-07-07-18-36-39-746286 EdgeServer1 AP-1 EdgeServer1 SVCR 20 (sent)
2021-07-07-18-36-39-852323 AP-1 127.0.0.1 EdgeServer1 SVCR 20 (recvd)
2021-07-07-18-36-39-927317 USER 127.0.0.1 AP-1 SVCR 19 (recvd)
2021-07-07-18-36-39-957375 AP-1 USER AP-1 SVCR 20 (sent)
2021-07-07-18-36-40-440595 USER AP-1 USER SVCQ 21 (sent)
2021-07-07-18-36-40-486512 AP-1 127.0.0.1 USER SVCQ 21 (recvd)
2021-07-07-18-36-40-592475 AP-1 EdgeServer1 AP-1 SVCQ 21 (sent)
2021-07-07-18-36-40-699001 EdgeServer1 127.0.0.1 AP-1 SVCQ 21 (recvd)
2021-07-07-18-36-40-804868 EdgeServer1 AP-1 EdgeServer1 SVCR 21 (sent)
2021-07-07-18-36-40-910233 AP-1 127.0.0.1 EdgeServer1 SVCR 21 (recvd)
2021-07-07-18-36-40-955682 USER 127.0.0.1 AP-1 SVCR 20 (recvd)
2021-07-07-18-36-41-016919 AP-1 USER AP-1 SVCR 21 (sent)
2021-07-07-18-36-41-455732 USER AP-1 USER SVCQ 22 (sent)
2021-07-07-18-36-41-546588 AP-1 127.0.0.1 USER SVCQ 22 (recvd)
2021-07-07-18-36-41-652148 AP-1 EdgeServer1 AP-1 SVCQ 22 (sent)
2021-07-07-18-36-41-758314 EdgeServer1 127.0.0.1 AP-1 SVCQ 22 (recvd)
2021-07-07-18-36-41-865615 EdgeServer1 AP-1 EdgeServer1 SVCR 22 (sent)
2021-07-07-18-36-41-956420 USER 127.0.0.1 AP-1 SVCR 21 (recvd)
2021-07-07-18-36-41-971370 AP-1 127.0.0.1 EdgeServer1 SVCR 22 (recvd)
2021-07-07-18-36-42-077612 AP-1 USER AP-1 SVCR 22 (sent)
2021-07-07-18-36-42-457628 USER AP-1 USER SVCQ 23 (sent)
2021-07-07-18-36-42-503708 AP-1 127.0.0.1 USER SVCQ 23 (recvd)
2021-07-07-18-36-42-608954 AP-1 EdgeServer1 AP-1 SVCQ 23 (sent)
2021-07-07-18-36-42-713986 EdgeServer1 127.0.0.1 AP-1 SVCQ 23 (recvd)
2021-07-07-18-36-42-819324 EdgeServer1 AP-1 EdgeServer1 SVCR 23 (sent)
2021-07-07-18-36-42-924771 AP-1 127.0.0.1 EdgeServer1 SVCR 23 (recvd)
2021-07-07-18-36-42-970451 USER 127.0.0.1 AP-1 SVCR 22 (recvd)
2021-07-07-18-36-43-031845 AP-1 USER AP-1 SVCR 23 (sent)
2021-07-07-18-36-43-485289 USER AP-1 USER SVCQ 24 (sent)
2021-07-07-18-36-43-561106 AP-1 127.0.0.1 USER SVCQ 24 (recvd)
2021-07-07-18-36-43-668255 AP-1 EdgeServer1 AP-1 SVCQ 24 (sent)
2021-07-07-18-36-43-773847 EdgeServer1 127.0.0.1 AP-1 SVCQ 24 (recvd)
2021-07-07-18-36-43-879539 EdgeServer1 AP-1 EdgeServer1 SVCR 24 (sent)
2021-07-07-18-36-43-985413 USER 127.0.0.1 AP-1 SVCR 23 (recvd)
2021-07-07-18-36-43-985413 AP-1 127.0.0.1 EdgeServer1 SVCR 24 (recvd)
2021-07-07-18-36-44-092043 AP-1 USER AP-1 SVCR 24 (sent)
2021-07-07-18-36-44-486185 USER AP-1 USER SVCQ 25 (sent)
2021-07-07-18-36-44-516648 AP-1 127.0.0.1 USER SVCQ 25 (recvd)
2021-07-07-18-36-44-622780 AP-1 EdgeServer1 AP-1 SVCQ 25 (sent)
2021-07-07-18-36-44-729461 EdgeServer1 127.0.0.1 AP-1 SVCQ 25 (recvd)
2021-07-07-18-36-44-834929 EdgeServer1 AP-1 EdgeServer1 SVCR 25 (sent)
2021-07-07-18-36-44-941107 AP-1 127.0.0.1 EdgeServer1 SVCR 25 (recvd)
2021-07-07-18-36-44-986480 USER 127.0.0.1 AP-1 SVCR 24 (recvd)
2021-07-07-18-36-45-047379 AP-1 USER AP-1 SVCR 25 (sent)
2021-07-07-18-36-45-487672 USER AP-1 USER SVCQ 26 (sent)
2021-07-07-18-36-45-578212 AP-1 127.0.0.1 USER SVCQ 26 (recvd)
2021-07-07-18-36-45-684477 AP-1 EdgeServer1 AP-1 SVCQ 26 (sent)
2021-07-07-18-36-45-789394 EdgeServer1 127.0.0.1 AP-1 SVCQ 26 (recvd)
2021-07-07-18-36-45-895110 EdgeServer1 AP-1 EdgeServer1 SVCR 26 (sent)
2021-07-07-18-36-46-001315 USER 127.0.0.1 AP-1 SVCR 25 (recvd)
2021-07-07-18-36-46-001315 AP-1 127.0.0.1 EdgeServer1 SVCR 26 (recvd)
2021-07-07-18-36-46-106286 AP-1 USER AP-1 SVCR 26 (sent)
2021-07-07-18-36-46-514156 USER AP-1 USER SVCQ 27 (sent)
2021-07-07-18-36-46-529221 AP-1 127.0.0.1 USER SVCQ 27 (recvd)
2021-07-07-18-36-46-635451 AP-1 EdgeServer1 AP-1 SVCQ 27 (sent)
2021-07-07-18-36-46-741544 EdgeServer1 127.0.0.1 AP-1 SVCQ 27 (recvd)
2021-07-07-18-36-46-846652 EdgeServer1 AP-1 EdgeServer1 SVCR 27 (sent)
2021-07-07-18-36-46-953624 AP-1 127.0.0.1 EdgeServer1 SVCR 27 (recvd)
2021-07-07-18-36-47-014534 USER 127.0.0.1 AP-1 SVCR 26 (recvd)
2021-07-07-18-36-47-060591 AP-1 USER AP-1 SVCR 27 (sent)
2021-07-07-18-36-47-518811 USER AP-1 USER SVCQ 28 (sent)
2021-07-07-18-36-47-594622 AP-1 127.0.0.1 USER SVCQ 28 (recvd)
2021-07-07-18-36-47-700197 AP-1 EdgeServer1 AP-1 SVCQ 28 (sent)
2021-07-07-18-36-47-805293 EdgeServer1 127.0.0.1 AP-1 SVCQ 28 (recvd)
2021-07-07-18-36-47-912807 EdgeServer1 AP-1 EdgeServer1 SVCR 28 (sent)
2021-07-07-18-36-48-017820 AP-1 127.0.0.1 EdgeServer1 SVCR 28 (recvd)
2021-07-07-18-36-48-033164 USER 127.0.0.1 AP-1 SVCR 27 (recvd)
2021-07-07-18-36-48-123264 AP-1 USER AP-1 SVCR 28 (sent)
2021-07-07-18-36-48-533345 USER AP-1 USER SVCQ 29 (sent)
2021-07-07-18-36-48-548328 AP-1 127.0.0.1 USER SVCQ 29 (recvd)
2021-07-07-18-36-48-654102 AP-1 EdgeServer1 AP-1 SVCQ 29 (sent)
2021-07-07-18-36-48-759700 EdgeServer1 127.0.0.1 AP-1 SVCQ 29 (recvd)
2021-07-07-18-36-48-865299 EdgeServer1 AP-1 EdgeServer1 SVCR 29 (sent)
2021-07-07-18-36-48-970308 AP-1 127.0.0.1 EdgeServer1 SVCR 29 (recvd)
2021-07-07-18-36-49-045518 USER 127.0.0.1 AP-1 SVCR 28 (recvd)
2021-07-07-18-36-49-075518 AP-1 USER AP-1 SVCR 29 (sent)
2021-07-07-18-36-49-559916 USER AP-1 USER SVCQ 30 (sent)
2021-07-07-18-36-49-605320 AP-1 127.0.0.1 USER SVCQ 30 (recvd)
2021-07-07-18-36-49-712390 AP-1 EdgeServer1 AP-1 SVCQ 30 (sent)
2021-07-07-18-36-49-817448 EdgeServer1 127.0.0.1 AP-1 SVCQ 30 (recvd)
2021-07-07-18-36-49-924381 EdgeServer1 AP-1 EdgeServer1 SVCR 30 (sent)
2021-07-07-18-36-50-031124 AP-1 127.0.0.1 EdgeServer1 SVCR 30 (recvd)
2021-07-07-18-36-50-061094 USER 127.0.0.1 AP-1 SVCR 29 (recvd)
2021-07-07-18-36-50-136220 AP-1 USER AP-1 SVCR 30 (sent)
2021-07-07-18-36-50-576501 USER AP-1 USER SVCQ 31 (sent)
2021-07-07-18-36-50-667664 AP-1 127.0.0.1 USER SVCQ 31 (recvd)
2021-07-07-18-36-50-773733 AP-1 EdgeServer1 AP-1 SVCQ 31 (sent)
2021-07-07-18-36-50-880386 EdgeServer1 127.0.0.1 AP-1 SVCQ 31 (recvd)
2021-07-07-18-36-50-986714 EdgeServer1 AP-1 EdgeServer1 SVCR 31 (sent)
2021-07-07-18-36-51-078346 USER 127.0.0.1 AP-1 SVCR 30 (recvd)
2021-07-07-18-36-51-094013 AP-1 127.0.0.1 EdgeServer1 SVCR 31 (recvd)
2021-07-07-18-36-51-199987 AP-1 USER AP-1 SVCR 31 (sent)
2021-07-07-18-36-51-593540 USER AP-1 USER SVCQ 32 (sent)
2021-07-07-18-36-51-624023 AP-1 127.0.0.1 USER SVCQ 32 (recvd)
2021-07-07-18-36-51-730429 AP-1 EdgeServer1 AP-1 SVCQ 32 (sent)
2021-07-07-18-36-51-836776 EdgeServer1 127.0.0.1 AP-1 SVCQ 32 (recvd)
2021-07-07-18-36-51-941789 EdgeServer1 AP-1 EdgeServer1 SVCR 32 (sent)
2021-07-07-18-36-52-047710 AP-1 127.0.0.1 EdgeServer1 SVCR 32 (recvd)
2021-07-07-18-36-52-107771 USER 127.0.0.1 AP-1 SVCR 31 (recvd)
2021-07-07-18-36-52-153658 AP-1 USER AP-1 SVCR 32 (sent)
2021-07-07-18-36-52-621475 USER AP-1 USER SVCQ 33 (sent)
